Feature,Coefficient
Sentiment_gameplay_mechanics,12.4522402788144
Sentiment_audio_music,10.3843002911141
Sentiment_story_narrative,10.340123715774793
Sentiment_content_replay,7.2055284618709035
Sentiment_difficulty_balance,6.57476033764735
Sentiment_characters_world,5.589708510221499
Type_User,5.321347802951909
Sentiment_visuals_art,4.689427034092047
Sentiment_monetization_value,4.256136400057361
Sentiment_multiplayer_online,2.927655351255404
Sentiment_controls_camera,-2.338661401445823
Sentiment_performance_bugs,2.0563745957326414
Sentiment_ui_qol,1.4418392251525243
